# ACTS Test Suite Generation: Tue Apr 11 16:50:44 CEST 2023
#  '*' represents don't care value 
# Degree of interaction coverage: 5
# Number of parameters: 5
# Maximum number of values per parameter: 4
# Number of configurations: 144
Registration,Name_and_surname,Destinace,Datum_narozeni,Sleva
true,null,Praha,25.07.2003,Student
true,null,Kyiv,25.07.2003,Student
false,null,Praha,25.07.2003,Student
false,null,Kyiv,25.07.2003,Student
true,null,Praha,25.07.2003,Duchodce
true,null,Kyiv,25.07.2003,Duchodce
false,null,Praha,25.07.2003,Duchodce
false,null,Kyiv,25.07.2003,Duchodce
true,null,Praha,25.07.2003,Slevovy kupon
true,null,Kyiv,25.07.2003,Slevovy kupon
false,null,Praha,25.07.2003,Slevovy kupon
false,null,Kyiv,25.07.2003,Slevovy kupon
true,vasiliy pupkin,Praha,25.07.2003,Student
true,vasiliy pupkin,Kyiv,25.07.2003,Student
false,vasiliy pupkin,Praha,25.07.2003,Student
false,vasiliy pupkin,Kyiv,25.07.2003,Student
true,vasiliy pupkin,Praha,25.07.2003,Duchodce
true,vasiliy pupkin,Kyiv,25.07.2003,Duchodce
false,vasiliy pupkin,Praha,25.07.2003,Duchodce
false,vasiliy pupkin,Kyiv,25.07.2003,Duchodce
true,vasiliy pupkin,Praha,25.07.2003,Slevovy kupon
true,vasiliy pupkin,Kyiv,25.07.2003,Slevovy kupon
false,vasiliy pupkin,Praha,25.07.2003,Slevovy kupon
false,vasiliy pupkin,Kyiv,25.07.2003,Slevovy kupon
true,:equal45DD,Praha,25.07.2003,Student
true,:equal45DD,Kyiv,25.07.2003,Student
false,:equal45DD,Praha,25.07.2003,Student
false,:equal45DD,Kyiv,25.07.2003,Student
true,:equal45DD,Praha,25.07.2003,Duchodce
true,:equal45DD,Kyiv,25.07.2003,Duchodce
false,:equal45DD,Praha,25.07.2003,Duchodce
false,:equal45DD,Kyiv,25.07.2003,Duchodce
true,:equal45DD,Praha,25.07.2003,Slevovy kupon
true,:equal45DD,Kyiv,25.07.2003,Slevovy kupon
false,:equal45DD,Praha,25.07.2003,Slevovy kupon
false,:equal45DD,Kyiv,25.07.2003,Slevovy kupon
true,null,Praha,02/03/2005,Student
true,null,Kyiv,02/03/2005,Student
false,null,Praha,02/03/2005,Student
false,null,Kyiv,02/03/2005,Student
true,null,Praha,02/03/2005,Duchodce
true,null,Kyiv,02/03/2005,Duchodce
false,null,Praha,02/03/2005,Duchodce
false,null,Kyiv,02/03/2005,Duchodce
true,null,Praha,02/03/2005,Slevovy kupon
true,null,Kyiv,02/03/2005,Slevovy kupon
false,null,Praha,02/03/2005,Slevovy kupon
false,null,Kyiv,02/03/2005,Slevovy kupon
true,vasiliy pupkin,Praha,02/03/2005,Student
true,vasiliy pupkin,Kyiv,02/03/2005,Student
false,vasiliy pupkin,Praha,02/03/2005,Student
false,vasiliy pupkin,Kyiv,02/03/2005,Student
true,vasiliy pupkin,Praha,02/03/2005,Duchodce
true,vasiliy pupkin,Kyiv,02/03/2005,Duchodce
false,vasiliy pupkin,Praha,02/03/2005,Duchodce
false,vasiliy pupkin,Kyiv,02/03/2005,Duchodce
